State,Year,Type_code,Type,Gender,Age_group,Total
A & N Islands,2008,Causes,Causes Not known,Female,0-14,0
A & N Islands,2008,Causes,Insanity/Mental Illness,Female,0-14,0
A & N Islands,2008,Causes,Paralysis,Female,0-14,0
A & N Islands,2008,Causes,Illness (Aids/STD),Female,0-14,0
A & N Islands,2008,Causes,Cancellation/Non-Settlement of Marriage,Female,0-14,0
A & N Islands,2008,Causes,Professional/Career Problem,Female,0-14,0
A & N Islands,2008,Causes,Dowry Dispute,Female,0-14,0
A & N Islands,2008,Causes,Ideological Causes/Hero Worshipping,Female,0-14,0
A & N Islands,2008,Causes,Bankruptcy or Sudden change in Economic,Female,0-14,0
A & N Islands,2008,Causes,Family Problems,Female,0-14,0
A & N Islands,2008,Causes,Failure in Examination,Female,0-14,0
A & N Islands,2008,Causes,Drug Abuse/Addiction,Female,0-14,0
A & N Islands,2008,Causes,Suspected/Illicit Relation,Female,0-14,0
A & N Islands,2008,Causes,Love Affairs,Female,0-14,0
A & N Islands,2008,Causes,Poverty,Female,0-14,0
A & N Islands,2008,Causes,Death of Dear Person,Female,0-14,0
A & N Islands,2008,Causes,Fall in Social Reputation,Female,0-14,0
A & N Islands,2008,Causes,Illegitimate Pregnancy,Female,0-14,0
A & N Islands,2008,Causes,Physical Abuse (Rape/Incest Etc.),Female,0-14,0
A & N Islands,2008,Causes,Other Causes (Please Specity),Female,0-14,0
A & N Islands,2008,Causes,Property Dispute,Female,0-14,0
A & N Islands,2008,Causes,Divorce,Female,0-14,0
A & N Islands,2008,Causes,Cancer,Female,0-14,0
A & N Islands,2008,Causes,Other Prolonged Illness,Female,0-14,0
A & N Islands,2008,Causes,Not having Children(Barrenness/Impotency,Female,0-14,0
A & N Islands,2008,Causes,Unemployment,Female,0-14,0
A & N Islands,2008,Causes,Professional/Career Problem,Male,0-14,0
A & N Islands,2008,Causes,Bankruptcy or Sudden change in Economic,Male,0-14,0
A & N Islands,2008,Causes,Death of Dear Person,Male,0-14,0
A & N Islands,2008,Causes,Drug Abuse/Addiction,Male,0-14,0
A & N Islands,2008,Causes,Not having Children(Barrenness/Impotency,Male,0-14,0
A & N Islands,2008,Causes,Cancer,Male,0-14,0
A & N Islands,2008,Causes,Other Causes (Please Specity),Male,0-14,0
