State,Year,Type_code,Type,Gender,Age_group,Total
A & N Islands,2007,Causes,Failure in Examination,Female,0-14,2
A & N Islands,2007,Causes,Professional/Career Problem,Female,0-14,0
A & N Islands,2007,Causes,Other Prolonged Illness,Female,0-14,0
A & N Islands,2007,Causes,Bankruptcy or Sudden change in Economic,Female,0-14,0
A & N Islands,2007,Causes,Poverty,Female,0-14,0
A & N Islands,2007,Causes,Illegitimate Pregnancy,Female,0-14,0
A & N Islands,2007,Causes,Not having Children(Barrenness/Impotency,Female,0-14,0
A & N Islands,2007,Causes,Illness (Aids/STD),Female,0-14,0
A & N Islands,2007,Causes,Cancellation/Non-Settlement of Marriage,Female,0-14,0
A & N Islands,2007,Causes,Causes Not known,Female,0-14,0
A & N Islands,2007,Causes,Property Dispute,Female,0-14,0
A & N Islands,2007,Causes,Death of Dear Person,Female,0-14,0
A & N Islands,2007,Causes,Love Affairs,Female,0-14,1
A & N Islands,2007,Causes,Suspected/Illicit Relation,Female,0-14,0
A & N Islands,2007,Causes,Cancer,Female,0-14,0
A & N Islands,2007,Causes,Other Causes (Please Specity),Female,0-14,3
A & N Islands,2007,Causes,Fall in Social Reputation,Female,0-14,0
A & N Islands,2007,Causes,Divorce,Female,0-14,0
A & N Islands,2007,Causes,Drug Abuse/Addiction,Female,0-14,0
A & N Islands,2007,Causes,Unemployment,Female,0-14,0
A & N Islands,2007,Causes,Dowry Dispute,Female,0-14,0
A & N Islands,2007,Causes,Family Problems,Female,0-14,0
A & N Islands,2007,Causes,Ideological Causes/Hero Worshipping,Female,0-14,0
A & N Islands,2007,Causes,Physical Abuse (Rape/Incest Etc.),Female,0-14,0
A & N Islands,2007,Causes,Paralysis,Female,0-14,0
A & N Islands,2007,Causes,Insanity/Mental Illness,Female,0-14,0
A & N Islands,2007,Causes,Poverty,Male,0-14,0
A & N Islands,2007,Causes,Fall in Social Reputation,Male,0-14,0
A & N Islands,2007,Causes,Unemployment,Male,0-14,0
A & N Islands,2007,Causes,Illness (Aids/STD),Male,0-14,0
A & N Islands,2007,Causes,Property Dispute,Male,0-14,0
A & N Islands,2007,Causes,Cancer,Male,0-14,0
A & N Islands,2007,Causes,Causes Not known,Male,0-14,0
A & N Islands,2007,Causes,Not having Children(Barrenness/Impotency,Male,0-14,0
A & N Islands,2007,Causes,Paralysis,Male,0-14,0
A & N Islands,2007,Causes,Dowry Dispute,Male,0-14,0
A & N Islands,2007,Causes,Ideological Causes/Hero Worshipping,Male,0-14,0
A & N Islands,2007,Causes,Bankruptcy or Sudden change in Economic,Male,0-14,0
A & N Islands,2007,Causes,Cancellation/Non-Settlement of Marriage,Male,0-14,0
A & N Islands,2007,Causes,Love Affairs,Male,0-14,0
A & N Islands,2007,Causes,Illegitimate Pregnancy,Male,0-14,0
A & N Islands,2007,Causes,Professional/Career Problem,Male,0-14,0
A & N Islands,2007,Causes,Other Causes (Please Specity),Male,0-14,0
A & N Islands,2007,Causes,Death of Dear Person,Male,0-14,0
A & N Islands,2007,Causes,Family Problems,Male,0-14,0
A & N Islands,2007,Causes,Other Prolonged Illness,Male,0-14,0
A & N Islands,2007,Causes,Physical Abuse (Rape/Incest Etc.),Male,0-14,0
A & N Islands,2007,Causes,Divorce,Male,0-14,0
A & N Islands,2007,Causes,Drug Abuse/Addiction,Male,0-14,0
A & N Islands,2007,Causes,Suspected/Illicit Relation,Male,0-14,0
A & N Islands,2007,Causes,Failure in Examination,Male,0-14,0
A & N Islands,2007,Causes,Insanity/Mental Illness,Male,0-14,0
A & N Islands,2007,Causes,Cancellation/Non-Settlement of Marriage,Female,15-29,0
A & N Islands,2007,Causes,Causes Not known,Female,15-29,0
A & N Islands,2007,Causes,Ideological Causes/Hero Worshipping,Female,15-29,0
A & N Islands,2007,Causes,Family Problems,Female,15-29,0
A & N Islands,2007,Causes,Other Causes (Please Specity),Female,15-29,13
A & N Islands,2007,Causes,Illness (Aids/STD),Female,15-29,0
A & N Islands,2007,Causes,Love Affairs,Female,15-29,4
A & N Islands,2007,Causes,Fall in Social Reputation,Female,15-29,0
A & N Islands,2007,Causes,Bankruptcy or Sudden change in Economic,Female,15-29,0
A & N Islands,2007,Causes,Cancer,Female,15-29,0
A & N Islands,2007,Causes,Physical Abuse (Rape/Incest Etc.),Female,15-29,0
A & N Islands,2007,Causes,Suspected/Illicit Relation,Female,15-29,0
A & N Islands,2007,Causes,Illegitimate Pregnancy,Female,15-29,0
A & N Islands,2007,Causes,Poverty,Female,15-29,0
A & N Islands,2007,Causes,Paralysis,Female,15-29,0
A & N Islands,2007,Causes,Failure in Examination,Female,15-29,5
A & N Islands,2007,Causes,Drug Abuse/Addiction,Female,15-29,0
A & N Islands,2007,Causes,Not having Children(Barrenness/Impotency,Female,15-29,0
A & N Islands,2007,Causes,Insanity/Mental Illness,Female,15-29,3
A & N Islands,2007,Causes,Professional/Career Problem,Female,15-29,0
A & N Islands,2007,Causes,Property Dispute,Female,15-29,1
A & N Islands,2007,Causes,Other Prolonged Illness,Female,15-29,4
A & N Islands,2007,Causes,Death of Dear Person,Female,15-29,0
A & N Islands,2007,Causes,Dowry Dispute,Female,15-29,0
A & N Islands,2007,Causes,Divorce,Female,15-29,0
A & N Islands,2007,Causes,Unemployment,Female,15-29,0
A & N Islands,2007,Causes,Cancer,Male,15-29,0
A & N Islands,2007,Causes,Property Dispute,Male,15-29,0
A & N Islands,2007,Causes,Cancellation/Non-Settlement of Marriage,Male,15-29,1
A & N Islands,2007,Causes,Professional/Career Problem,Male,15-29,0
A & N Islands,2007,Causes,Love Affairs,Male,15-29,3
A & N Islands,2007,Causes,Not having Children(Barrenness/Impotency,Male,15-29,0
A & N Islands,2007,Causes,Ideological Causes/Hero Worshipping,Male,15-29,0
A & N Islands,2007,Causes,Bankruptcy or Sudden change in Economic,Male,15-29,0
A & N Islands,2007,Causes,Failure in Examination,Male,15-29,2
A & N Islands,2007,Causes,Insanity/Mental Illness,Male,15-29,3
A & N Islands,2007,Causes,Fall in Social Reputation,Male,15-29,2
A & N Islands,2007,Causes,Family Problems,Male,15-29,0
A & N Islands,2007,Causes,Other Causes (Please Specity),Male,15-29,16
A & N Islands,2007,Causes,Dowry Dispute,Male,15-29,0
A & N Islands,2007,Causes,Suspected/Illicit Relation,Male,15-29,0
A & N Islands,2007,Causes,Drug Abuse/Addiction,Male,15-29,0
A & N Islands,2007,Causes,Paralysis,Male,15-29,0
A & N Islands,2007,Causes,Divorce,Male,15-29,0
A & N Islands,2007,Causes,Illegitimate Pregnancy,Male,15-29,0
A & N Islands,2007,Causes,Physical Abuse (Rape/Incest Etc.),Male,15-29,0
A & N Islands,2007,Causes,Death of Dear Person,Male,15-29,0
A & N Islands,2007,Causes,Poverty,Male,15-29,0
A & N Islands,2007,Causes,Illness (Aids/STD),Male,15-29,0
A & N Islands,2007,Causes,Unemployment,Male,15-29,3
A & N Islands,2007,Causes,Other Prolonged Illness,Male,15-29,3
A & N Islands,2007,Causes,Causes Not known,Male,15-29,3
A & N Islands,2007,Causes,Cancer,Female,30-44,0
A & N Islands,2007,Causes,Divorce,Female,30-44,0
A & N Islands,2007,Causes,Drug Abuse/Addiction,Female,30-44,0
A & N Islands,2007,Causes,Death of Dear Person,Female,30-44,0
A & N Islands,2007,Causes,Family Problems,Female,30-44,0
A & N Islands,2007,Causes,Poverty,Female,30-44,0
A & N Islands,2007,Causes,Unemployment,Female,30-44,0
A & N Islands,2007,Causes,Love Affairs,Female,30-44,1
A & N Islands,2007,Causes,Cancellation/Non-Settlement of Marriage,Female,30-44,0
A & N Islands,2007,Causes,Causes Not known,Female,30-44,0
A & N Islands,2007,Causes,Illegitimate Pregnancy,Female,30-44,0
A & N Islands,2007,Causes,Dowry Dispute,Female,30-44,0
A & N Islands,2007,Causes,Ideological Causes/Hero Worshipping,Female,30-44,0
A & N Islands,2007,Causes,Fall in Social Reputation,Female,30-44,0
A & N Islands,2007,Causes,Property Dispute,Female,30-44,0
A & N Islands,2007,Causes,Bankruptcy or Sudden change in Economic,Female,30-44,0
A & N Islands,2007,Causes,Suspected/Illicit Relation,Female,30-44,0
A & N Islands,2007,Causes,Illness (Aids/STD),Female,30-44,0
A & N Islands,2007,Causes,Other Causes (Please Specity),Female,30-44,6
A & N Islands,2007,Causes,Failure in Examination,Female,30-44,0
A & N Islands,2007,Causes,Other Prolonged Illness,Female,30-44,2
A & N Islands,2007,Causes,Professional/Career Problem,Female,30-44,0
A & N Islands,2007,Causes,Paralysis,Female,30-44,0
A & N Islands,2007,Causes,Physical Abuse (Rape/Incest Etc.),Female,30-44,0
A & N Islands,2007,Causes,Insanity/Mental Illness,Female,30-44,1
A & N Islands,2007,Causes,Not having Children(Barrenness/Impotency,Female,30-44,0
A & N Islands,2007,Causes,Other Prolonged Illness,Male,30-44,1
A & N Islands,2007,Causes,Love Affairs,Male,30-44,0
A & N Islands,2007,Causes,Dowry Dispute,Male,30-44,0
A & N Islands,2007,Causes,Poverty,Male,30-44,1
A & N Islands,2007,Causes,Illness (Aids/STD),Male,30-44,0
A & N Islands,2007,Causes,Other Causes (Please Specity),Male,30-44,12
A & N Islands,2007,Causes,Suspected/Illicit Relation,Male,30-44,0
A & N Islands,2007,Causes,Not having Children(Barrenness/Impotency,Male,30-44,0
A & N Islands,2007,Causes,Bankruptcy or Sudden change in Economic,Male,30-44,0
A & N Islands,2007,Causes,Paralysis,Male,30-44,0
A & N Islands,2007,Causes,Property Dispute,Male,30-44,0
A & N Islands,2007,Causes,Death of Dear Person,Male,30-44,0
A & N Islands,2007,Causes,Divorce,Male,30-44,0
A & N Islands,2007,Causes,Ideological Causes/Hero Worshipping,Male,30-44,0
A & N Islands,2007,Causes,Cancer,Male,30-44,0
