State,Year,Type_code,Type,Gender,Age_group,Total
A & N Islands,2010,Causes,Drug Abuse/Addiction,Female,0-14,0
A & N Islands,2010,Causes,Failure in Examination,Female,0-14,0
A & N Islands,2010,Causes,Professional/Career Problem,Female,0-14,0
A & N Islands,2010,Causes,Death of Dear Person,Female,0-14,0
A & N Islands,2010,Causes,Poverty,Female,0-14,0
A & N Islands,2010,Causes,Not having Children(Barrenness/Impotency,Female,0-14,0
A & N Islands,2010,Causes,Fall in Social Reputation,Female,0-14,0
A & N Islands,2010,Causes,Physical Abuse (Rape/Incest Etc.),Female,0-14,0
A & N Islands,2010,Causes,Insanity/Mental Illness,Female,0-14,0
A & N Islands,2010,Causes,Other Prolonged Illness,Female,0-14,0
A & N Islands,2010,Causes,Property Dispute,Female,0-14,0
A & N Islands,2010,Causes,Illness (Aids/STD),Female,0-14,0
A & N Islands,2010,Causes,Bankruptcy or Sudden change in Economic,Female,0-14,0
A & N Islands,2010,Causes,Cancellation/Non-Settlement of Marriage,Female,0-14,0
A & N Islands,2010,Causes,Illegitimate Pregnancy,Female,0-14,0
A & N Islands,2010,Causes,Suspected/Illicit Relation,Female,0-14,0
A & N Islands,2010,Causes,Causes Not known,Female,0-14,0
A & N Islands,2010,Causes,Divorce,Female,0-14,0
A & N Islands,2010,Causes,Cancer,Female,0-14,0
A & N Islands,2010,Causes,Other Causes (Please Specity),Female,0-14,0
A & N Islands,2010,Causes,Dowry Dispute,Female,0-14,0
A & N Islands,2010,Causes,Family Problems,Female,0-14,0
A & N Islands,2010,Causes,Ideological Causes/Hero Worshipping,Female,0-14,0
A & N Islands,2010,Causes,Love Affairs,Female,0-14,0
A & N Islands,2010,Causes,Unemployment,Female,0-14,0
A & N Islands,2010,Causes,Paralysis,Female,0-14,0
A & N Islands,2010,Causes,Fall in Social Reputation,Male,0-14,0
A & N Islands,2010,Causes,Love Affairs,Male,0-14,0
A & N Islands,2010,Causes,Unemployment,Male,0-14,0
A & N Islands,2010,Causes,Illness (Aids/STD),Male,0-14,0
A & N Islands,2010,Causes,Dowry Dispute,Male,0-14,0
A & N Islands,2010,Causes,Ideological Causes/Hero Worshipping,Male,0-14,0
A & N Islands,2010,Causes,Illegitimate Pregnancy,Male,0-14,0
A & N Islands,2010,Causes,Other Prolonged Illness,Male,0-14,0
A & N Islands,2010,Causes,Physical Abuse (Rape/Incest Etc.),Male,0-14,0
A & N Islands,2010,Causes,Divorce,Male,0-14,0
A & N Islands,2010,Causes,Drug Abuse/Addiction,Male,0-14,0
A & N Islands,2010,Causes,Other Causes (Please Specity),Male,0-14,4
A & N Islands,2010,Causes,Suspected/Illicit Relation,Male,0-14,0
A & N Islands,2010,Causes,Failure in Examination,Male,0-14,0
A & N Islands,2010,Causes,Insanity/Mental Illness,Male,0-14,0
A & N Islands,2010,Causes,Property Dispute,Male,0-14,0
A & N Islands,2010,Causes,Cancer,Male,0-14,0
A & N Islands,2010,Causes,Causes Not known,Male,0-14,0
A & N Islands,2010,Causes,Not having Children(Barrenness/Impotency,Male,0-14,0
A & N Islands,2010,Causes,Paralysis,Male,0-14,0
A & N Islands,2010,Causes,Bankruptcy or Sudden change in Economic,Male,0-14,0
A & N Islands,2010,Causes,Cancellation/Non-Settlement of Marriage,Male,0-14,0
A & N Islands,2010,Causes,Poverty,Male,0-14,0
A & N Islands,2010,Causes,Professional/Career Problem,Male,0-14,0
A & N Islands,2010,Causes,Death of Dear Person,Male,0-14,0
A & N Islands,2010,Causes,Family Problems,Male,0-14,0
A & N Islands,2010,Causes,Death of Dear Person,Female,15-29,0
A & N Islands,2010,Causes,Paralysis,Female,15-29,0
A & N Islands,2010,Causes,Poverty,Female,15-29,1
A & N Islands,2010,Causes,Other Prolonged Illness,Female,15-29,3
A & N Islands,2010,Causes,Failure in Examination,Female,15-29,0
A & N Islands,2010,Causes,Illness (Aids/STD),Female,15-29,0
A & N Islands,2010,Causes,Love Affairs,Female,15-29,1
