State,Year,Type_code,Type,Gender,Age_group,Total
A & N Islands,2002,Causes,Paralysis,Female,0-14,0
A & N Islands,2002,Causes,Causes Not known,Female,0-14,0
A & N Islands,2002,Causes,Insanity/Mental Illness,Female,0-14,0
A & N Islands,2002,Causes,Professional/Career Problem,Female,0-14,0
A & N Islands,2002,Causes,Cancellation/Non-Settlement of Marriage,Female,0-14,0
A & N Islands,2002,Causes,Love Affairs,Female,0-14,0
A & N Islands,2002,Causes,Illness (Aids/STD),Female,0-14,0
A & N Islands,2002,Causes,Unemployment,Female,0-14,0
A & N Islands,2002,Causes,Family Problems,Female,0-14,1
A & N Islands,2002,Causes,Cancer,Female,0-14,0
A & N Islands,2002,Causes,Other Prolonged Illness,Female,0-14,0
A & N Islands,2002,Causes,Drug Abuse/Addiction,Female,0-14,0
A & N Islands,2002,Causes,Divorce,Female,0-14,0
A & N Islands,2002,Causes,Fall in Social Reputation,Female,0-14,0
A & N Islands,2002,Causes,Illegitimate Pregnancy,Female,0-14,0
A & N Islands,2002,Causes,Physical Abuse (Rape/Incest Etc.),Female,0-14,0
A & N Islands,2002,Causes,Other Causes (Please Specity),Female,0-14,0
A & N Islands,2002,Causes,Property Dispute,Female,0-14,0
A & N Islands,2002,Causes,Suspected/Illicit Relation,Female,0-14,0
A & N Islands,2002,Causes,Bankruptcy or Sudden change in Economic Status,Female,0-14,0
A & N Islands,2002,Causes,Death of Dear Person,Female,0-14,0
A & N Islands,2002,Causes,Poverty,Female,0-14,0
A & N Islands,2002,Causes,Dowry Dispute,Female,0-14,0
A & N Islands,2002,Causes,Ideological Causes/Hero Worshipping,Female,0-14,0
A & N Islands,2002,Causes,Not having Children (Barrenness/Impotency,Female,0-14,0
A & N Islands,2002,Causes,Failure in Examination,Female,0-14,1
A & N Islands,2002,Causes,Death of Dear Person,Male,0-14,0
A & N Islands,2002,Causes,Cancellation/Non-Settlement of Marriage,Male,0-14,0
A & N Islands,2002,Causes,Divorce,Male,0-14,0
A & N Islands,2002,Causes,Cancer,Male,0-14,0
A & N Islands,2002,Causes,Unemployment,Male,0-14,0
A & N Islands,2002,Causes,Paralysis,Male,0-14,0
A & N Islands,2002,Causes,Other Causes (Please Specity),Male,0-14,0
A & N Islands,2002,Causes,Other Prolonged Illness,Male,0-14,0
A & N Islands,2002,Causes,Physical Abuse (Rape/Incest Etc.),Male,0-14,0
A & N Islands,2002,Causes,Property Dispute,Male,0-14,0
A & N Islands,2002,Causes,Professional/Career Problem,Male,0-14,0
A & N Islands,2002,Causes,Bankruptcy or Sudden change in Economic Status,Male,0-14,0
A & N Islands,2002,Causes,Poverty,Male,0-14,0
A & N Islands,2002,Causes,Not having Children (Barrenness/Impotency,Male,0-14,0
A & N Islands,2002,Causes,Failure in Examination,Male,0-14,1
A & N Islands,2002,Causes,Causes Not known,Male,0-14,0
A & N Islands,2002,Causes,Illegitimate Pregnancy,Male,0-14,0
